iter	Passed	Remaining
0	6	3077
1	8	2161
2	10	1753
3	12	1611
4	15	1496
5	18	1559
6	20	1458
7	22	1384
8	24	1329
9	26	1282
10	27	1243
11	29	1210
12	32	1213
13	36	1254
14	39	1274
15	42	1277
16	44	1254
17	46	1239
18	48	1237
19	50	1217
20	52	1198
21	54	1186
22	56	1174
23	58	1156
24	60	1141
25	63	1157
26	65	1148
27	67	1136
28	69	1126
29	71	1112
30	72	1103
31	74	1089
32	78	1115
33	81	1118
34	84	1120
35	86	1110
36	88	1103
37	90	1103
38	94	1115
39	96	1111
40	98	1101
41	99	1089
42	101	1079
43	103	1069
44	105	1064
45	107	1058
46	109	1055
47	111	1049
48	113	1042
49	114	1034
50	116	1026
51	118	1019
52	121	1022
53	123	1023
54	125	1017
55	127	1009
56	128	1002
57	130	995
58	131	980
59	132	974
60	134	967
61	136	962
62	138	958
63	139	951
64	141	947
65	143	940
66	144	934
67	146	929
68	147	923
69	149	920
70	151	915
71	153	912
72	155	912
73	157	907
74	159	903
75	161	898
76	162	890
77	164	892
78	167	891
79	170	892
80	172	890
81	173	885
82	175	880
83	177	878
84	180	880
85	187	901
86	191	906
87	195	915
88	200	925
89	209	955
90	218	983
91	225	998
92	230	1008
93	241	1044
94	245	1047
95	251	1058
96	256	1067
97	260	1069
98	263	1066
99	266	1065
100	268	1062
101	273	1065
102	278	1072
103	284	1083
104	286	1077
105	288	1071
106	289	1065
107	291	1058
108	292	1048
109	294	1042
110	295	1037
111	298	1033
112	300	1027
113	301	1021
114	303	1016
115	305	1009
116	306	1003
117	307	996
118	309	990
119	313	991
120	315	988
121	317	983
122	319	979
123	321	974
124	323	971
125	326	967
126	328	964
127	330	959
128	332	954
129	333	950
130	335	945
131	337	940
132	339	935
133	340	930
134	343	928
135	345	924
136	346	918
137	348	913
138	350	909
139	351	903
140	353	899
141	355	896
142	359	897
143	361	893
144	362	888
145	364	884
146	366	879
147	368	875
148	370	872
149	372	870
150	375	868
151	377	865
152	379	860
153	381	856
154	382	852
155	384	848
156	386	844
157	388	841
158	390	838
159	392	834
160	394	830
161	396	826
162	398	823
163	400	819
164	402	816
165	404	813
166	406	810
167	408	807
168	411	805
169	413	802
170	415	799
171	417	796
172	419	792
173	421	788
174	422	785
175	426	784
176	428	781
177	430	778
178	432	775
179	434	771
180	437	770
181	439	767
182	442	765
183	445	765
184	447	762
185	449	759
186	452	757
187	454	753
188	456	750
189	457	746
190	459	743
191	460	739
192	462	735
193	463	731
194	465	728
195	467	725
196	469	721
197	471	718
198	473	716
199	475	712
200	477	710
201	506	747
202	513	750
203	519	753
204	525	755
205	532	760
206	538	762
207	545	765
208	551	767
209	554	766
210	556	762
211	559	759
212	561	756
213	563	752
214	565	748
215	566	745
216	569	742
217	582	753
218	585	751
219	587	747
220	589	743
221	591	740
222	593	736
223	594	732
224	596	728
225	597	724
226	599	720
227	600	716
228	602	712
229	604	709
230	605	705
231	607	701
232	608	697
233	610	693
234	611	689
235	613	685
236	614	682
237	616	678
238	618	675
239	620	672
240	623	669
241	625	666
242	626	662
243	628	659
244	630	655
245	631	652
246	633	649
247	635	645
248	638	643
249	639	639
250	641	636
251	643	633
252	645	630
253	647	627
254	649	624
255	652	621
256	654	618
257	656	615
258	658	612
259	660	610
260	663	607
261	665	604
262	667	601
263	669	598
264	671	595
265	673	592
266	676	590
267	678	587
268	680	584
269	684	583
270	686	580
271	689	577
272	691	574
273	693	572
274	696	569
275	698	567
276	700	564
277	702	561
278	704	558
279	706	555
280	708	552
281	711	549
282	713	546
283	715	544
284	718	541
285	719	538
286	721	535
287	722	531
288	723	528
289	725	525
290	726	521
291	728	518
292	730	516
293	732	513
294	733	509
295	735	506
296	736	503
297	738	500
298	739	497
299	741	494
300	742	491
301	746	489
302	748	486
303	749	483
304	751	480
305	752	477
306	754	474
307	756	471
308	757	468
309	762	467
310	764	464
311	766	461
312	768	458
313	769	455
314	771	452
315	772	449
316	774	447
317	776	444
318	778	441
319	780	438
320	781	436
321	783	433
322	785	430
323	786	427
324	788	424
325	790	421
326	792	419
327	793	416
328	795	413
329	796	410
330	798	407
331	800	404
332	801	402
333	803	399
334	805	396
335	806	393
336	808	391
337	810	388
338	811	385
339	813	382
340	814	379
341	816	377
342	818	374
343	820	371
344	823	369
345	825	367
346	826	364
347	828	361
348	830	359
349	832	356
350	834	354
351	836	351
352	839	349
353	841	347
354	843	344
355	845	342
356	847	339
357	849	337
358	852	334
359	854	332
360	856	329
361	858	327
362	860	324
363	864	323
364	866	320
365	869	318
366	871	315
367	872	313
368	874	310
369	876	307
370	878	305
371	879	302
372	881	300
373	883	297
374	884	294
375	886	292
376	887	289
377	889	287
378	891	284
379	892	281
380	894	279
381	896	277
382	899	274
383	901	272
384	903	269
385	905	267
386	907	264
387	909	262
388	911	260
389	913	257
390	915	255
391	917	252
392	919	250
393	920	247
394	922	245
395	923	242
396	925	240
397	926	237
398	928	234
399	929	232
400	932	230
401	933	227
402	935	225
403	937	222
404	939	220
405	941	217
406	943	215
407	945	213
408	948	210
409	950	208
410	951	206
411	953	203
412	955	201
413	956	198
414	958	196
415	960	193
416	963	191
417	964	189
418	966	186
419	968	184
420	969	181
421	971	179
422	973	177
423	975	174
424	976	172
425	978	169
426	979	167
427	981	165
428	982	162
429	984	160
430	986	157
431	988	155
432	989	153
433	993	151
434	995	148
435	997	146
436	999	144
437	1001	141
438	1003	139
439	1004	136
440	1006	134
441	1008	132
442	1010	129
443	1011	127
444	1013	125
445	1014	122
446	1016	120
447	1017	118
448	1018	115
449	1020	113
450	1022	111
451	1024	108
452	1025	106
453	1027	104
454	1029	101
455	1030	99
456	1032	97
457	1033	94
458	1035	92
459	1037	90
460	1039	87
461	1041	85
462	1042	83
463	1044	81
464	1045	78
465	1047	76
466	1048	74
467	1050	71
468	1051	69
469	1053	67
470	1055	65
471	1057	62
472	1059	60
473	1060	58
474	1062	55
475	1064	53
476	1065	51
477	1067	49
478	1068	46
479	1070	44
480	1072	42
481	1073	40
482	1075	37
483	1076	35
484	1078	33
485	1080	31
486	1081	28
487	1083	26
488	1085	24
489	1086	22
490	1088	19
491	1089	17
492	1091	15
493	1093	13
494	1094	11
495	1096	8
496	1099	6
497	1102	4
498	1104	2
499	1107	0
