Phase,Combo,Step,Model,N_Features,RMSE,R2,MAPE,MAE,TrainSec,Source
P1,P1_S1+v42,2단계(초기+풀충전),LinearReg,4,0.035429985504177,0.060833122919302096,0.004248859041160621,0.021186685467889384,0.0,base
P1,P1_S1+v42,2단계(초기+풀충전),SVR,4,0.034832994146034385,0.09221619291816707,0.003975633779884666,0.019804447332069527,0.02,base
P1,P1_S1+v42,2단계(초기+풀충전),RandomForest,4,0.03776455865056114,-0.06701283869323871,0.004631074905804718,0.023114591500687003,0.16,base
P1,P1_S1+v42,2단계(초기+풀충전),XGBoost,4,0.041566025350222004,-0.29264066523629384,0.005161308227234665,0.025767727782176057,0.17,base
P1,P1_S1+v42,2단계(초기+풀충전),LightGBM,4,0.03968139872979648,-0.17807994378001046,0.005050132935527121,0.02520752177904145,0.07,base
P1,P1_S1+v42,2단계(초기+풀충전),CatBoost,4,0.036452238826999085,0.005856145838202598,0.004432505999769498,0.02211399010810453,0.42,base
P1,P1_S1+v25,2단계(초기+완전방전),LinearReg,4,0.026102531658303407,0.49023961709540664,0.0028752186724090014,0.01434151544400527,0.0,base
P1,P1_S1+v25,2단계(초기+완전방전),SVR,4,0.024544775930193337,0.5492674090759397,0.002234202832910082,0.011134715412253693,0.02,base
P1,P1_S1+v25,2단계(초기+완전방전),RandomForest,4,0.02280389833878582,0.6109378248850816,0.0024162249810201018,0.012067070112178984,0.16,base
P1,P1_S1+v25,2단계(초기+완전방전),XGBoost,4,0.026135396734474084,0.4889551546622847,0.0026184496593829013,0.013072155802066495,0.05,base
P1,P1_S1+v25,2단계(초기+완전방전),LightGBM,4,0.027595715166844392,0.4302502735517021,0.003088602205566987,0.015409538855000255,0.06,base
P1,P1_S1+v25,2단계(초기+완전방전),CatBoost,4,0.02415646563703871,0.5634162138382733,0.0024841118758746664,0.012392056751937079,0.26,base
P1,P1_S1+v36,2단계(초기+방전중간),LinearReg,4,0.035541998899386314,0.05488530414158921,0.0042202789181761445,0.02104279312345818,0.0,base
P1,P1_S1+v36,2단계(초기+방전중간),SVR,4,0.03579722027628761,0.04126313661691794,0.004105616094360899,0.020448904214739168,0.01,base
P1,P1_S1+v36,2단계(초기+방전중간),RandomForest,4,0.037107528755406946,-0.030207917693316766,0.004684686181412252,0.02337919733859908,0.2,base
P1,P1_S1+v36,2단계(초기+방전중간),XGBoost,4,0.03792002179014136,-0.0758159391895521,0.004868639871725075,0.024311070288144616,0.06,base
P1,P1_S1+v36,2단계(초기+방전중간),LightGBM,4,0.03768761956210531,-0.06266954060780372,0.004809141913090528,0.023997102513051902,0.07,base
P1,P1_S1+v36,2단계(초기+방전중간),CatBoost,4,0.03599405422142221,0.030690763578985703,0.004387339959171461,0.021881438859922966,0.27,base
P2,P2_v42_only,1단계(풀충전만),LinearReg,2,0.0362072625781692,0.01917347737369346,0.004387012458174746,0.02187426733613954,0.0,base
P2,P2_v42_only,1단계(풀충전만),SVR,2,0.03500449860062922,0.08325501991151019,0.004080801361578097,0.020336920301311037,0.02,base
P2,P2_v42_only,1단계(풀충전만),RandomForest,2,0.03947544033674399,-0.1658825019371304,0.005046130831211944,0.025194839364176474,0.15,base
P2,P2_v42_only,1단계(풀충전만),XGBoost,2,0.03948711554961426,-0.16657224417685756,0.0049321866258564846,0.024619796356788032,0.05,base
P2,P2_v42_only,1단계(풀충전만),LightGBM,2,0.038132770673648855,-0.08792145425363707,0.004939293643032741,0.024657677076062826,0.06,base
P2,P2_v42_only,1단계(풀충전만),CatBoost,2,0.035858020143707516,0.03800363344681179,0.004411087246715975,0.022002192335158093,0.24,base
P2,P2_v25_only,1단계(완전방전만),LinearReg,2,0.026052364580321563,0.4921971754161807,0.002884026362994598,0.014385050647129928,0.0,base
P2,P2_v25_only,1단계(완전방전만),SVR,2,0.025207521304305626,0.5245978912290166,0.0027065030659168396,0.013495264650836482,0.02,base
P2,P2_v25_only,1단계(완전방전만),RandomForest,2,0.024281338077254362,0.5588908671150121,0.00271011096559654,0.013545688114316364,0.14,base
P2,P2_v25_only,1단계(완전방전만),XGBoost,2,0.02537853578487689,0.5181255033865408,0.002693405944597317,0.0134527387032142,0.06,base
P2,P2_v25_only,1단계(완전방전만),LightGBM,2,0.028542955273575907,0.3904649385855815,0.0031706140818874473,0.015818529638816695,0.07,base
P2,P2_v25_only,1단계(완전방전만),CatBoost,2,0.026799262949198183,0.46266328258347555,0.0027604348349977176,0.013766745487840024,0.22,base
P2,P2_v36_only,1단계(방전중간만),LinearReg,2,0.03670972791409526,-0.008238203032401525,0.004425925130722774,0.022067054577660557,0.0,base
P2,P2_v36_only,1단계(방전중간만),SVR,2,0.036172012910403104,0.021082319793170323,0.004175416983005753,0.020796459754866777,0.0,base
P2,P2_v36_only,1단계(방전중간만),RandomForest,2,0.0392749752413522,-0.1540713450760125,0.004926817474198464,0.024588089155388862,0.16,base
P2,P2_v36_only,1단계(방전중간만),XGBoost,2,0.03721205552758495,-0.03601999830450864,0.004729115153824283,0.02361736077161934,0.05,base
P2,P2_v36_only,1단계(방전중간만),LightGBM,2,0.03793068714596231,-0.0764211906016592,0.004807017925474046,0.023984555195313603,0.07,base
P2,P2_v36_only,1단계(방전중간만),CatBoost,2,0.03697291542514061,-0.022746996301392874,0.0044578902959172655,0.02223352986156494,0.26,base
P3,P3_all_voltage,4단계(전압만),LinearReg,4,0.026498197383659702,0.47466845547345105,0.0029091061104345433,0.014509718951633162,0.0,base
P3,P3_all_voltage,4단계(전압만),SVR,4,0.026561397886354213,0.4721595443118126,0.0027835391108705014,0.0138745311916579,0.01,base
P3,P3_all_voltage,4단계(전압만),RandomForest,4,0.02729998541601893,0.44239629845722706,0.0026668731183970193,0.013329382264532268,0.15,base
P3,P3_all_voltage,4단계(전압만),XGBoost,4,0.03120278193087937,0.27157062700974777,0.002887824652911961,0.014437804486201347,0.05,base
P3,P3_all_voltage,4단계(전압만),LightGBM,4,0.030524830444344897,0.3028803275696056,0.0030238497941153146,0.015079721650944703,0.06,base
P3,P3_all_voltage,4단계(전압만),CatBoost,4,0.02925779993632946,0.3595515929411438,0.002771448237375745,0.013858674699202203,0.24,base
P3,P3_all_impedance,4단계(임피던스만),LinearReg,4,0.035663666696962575,0.04840357296811171,0.004296599097148247,0.02142263598752173,0.0,base
P3,P3_all_impedance,4단계(임피던스만),SVR,4,0.03630400458411075,0.013925144153530411,0.00413707173711864,0.02060238980959086,0.02,base
