cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0001,3.456,11.42,4.178,10.56,4.9762
BS-LSBAT-S240629-0002,3.455,11.55,4.178,10.31,4.9986
BS-LSBAT-S240629-0003,3.456,11.61,4.177,10.41,5.0045
BS-LSBAT-S240629-0004,3.456,11.51,4.178,10.44,5.0007
BS-LSBAT-S240629-0005,3.457,10.93,4.178,10.39,5.0119
BS-LSBAT-S240629-0006,3.456,11.69,4.177,11.3,4.9867
BS-LSBAT-S240629-0007,3.456,11.73,4.176,11.26,4.9792
BS-LSBAT-S240629-0008,3.456,11.73,4.178,11.22,4.9814
BS-LSBAT-S240629-0009,3.457,11.17,4.179,10.27,5.0175
BS-LSBAT-S240629-0010,3.457,11.45,4.179,10.53,4.9878
BS-LSBAT-S240629-0011,3.456,11.78,4.178,10.98,5.0074
BS-LSBAT-S240629-0012,3.455,11.48,4.178,10.37,4.9981
BS-LSBAT-S240629-0013,3.456,10.84,4.179,10.32,5.0147
BS-LSBAT-S240629-0014,3.456,11.41,4.177,10.47,5.0016
BS-LSBAT-S240629-0015,3.455,11.51,4.178,10.63,5.0051
BS-LSBAT-S240629-0016,3.456,11.43,4.178,10.52,4.9883
BS-LSBAT-S240629-0017,3.456,11.82,4.178,11.37,4.9724
BS-LSBAT-S240629-0018,3.456,11.77,4.178,11.35,4.9751
BS-LSBAT-S240629-0019,3.456,11.84,4.179,11.43,4.9822
BS-LSBAT-S240629-0020,3.456,11.0,4.179,10.32,5.0018
BS-LSBAT-S240629-0021,3.456,11.71,4.178,10.84,4.9812
BS-LSBAT-S240629-0022,3.456,11.31,4.178,10.41,4.9924
BS-LSBAT-S240629-0023,3.456,11.28,4.178,10.24,4.9861
BS-LSBAT-S240629-0024,3.456,11.59,4.179,10.55,4.9799
BS-LSBAT-S240629-0025,3.456,11.31,4.179,10.61,5.0064
BS-LSBAT-S240629-0026,3.456,11.31,4.179,10.31,5.0028
BS-LSBAT-S240629-0027,3.456,11.76,4.178,11.5,4.9876
BS-LSBAT-S240629-0028,3.456,11.54,4.19,11.45,4.9992
BS-LSBAT-S240629-0029,3.456,11.41,4.179,10.55,5.001
BS-LSBAT-S240629-0030,3.456,10.88,4.178,10.35,5.0089
BS-LSBAT-S240629-0031,3.456,11.73,4.178,11.2,4.9986
BS-LSBAT-S240629-0032,3.457,10.74,4.178,10.33,5.0783
BS-LSBAT-S240629-0033,3.456,11.58,4.179,10.58,5.0084
BS-LSBAT-S240629-0034,3.455,11.26,4.179,10.32,5.0122
BS-LSBAT-S240629-0035,3.455,11.37,4.18,10.71,5.0355
BS-LSBAT-S240629-0036,3.456,11.37,4.179,10.43,4.9373
BS-LSBAT-S240629-0037,3.456,11.55,4.179,11.18,4.9925
BS-LSBAT-S240629-0038,3.456,11.8,4.179,11.27,4.9821
BS-LSBAT-S240629-0039,3.457,11.54,4.179,10.43,4.9983
BS-LSBAT-S240629-0040,3.456,11.39,4.179,10.48,5.006
BS-LSBAT-S240629-0041,3.456,11.13,4.179,10.58,5.024
BS-LSBAT-S240629-0042,3.456,10.97,4.179,10.3,5.031
BS-LSBAT-S240629-0043,3.455,11.32,4.179,10.42,5.0079
BS-LSBAT-S240629-0044,3.455,11.5,4.179,10.46,4.9937
BS-LSBAT-S240629-0045,3.455,11.5,4.178,10.64,4.9965
BS-LSBAT-S240629-0046,3.456,11.3,4.179,10.45,5.0044
BS-LSBAT-S240629-0047,3.456,11.71,4.178,11.15,4.9814
BS-LSBAT-S240629-0048,3.456,11.67,4.179,11.26,4.9884
BS-LSBAT-S240629-0049,3.457,11.39,4.179,10.38,5.0273
BS-LSBAT-S240629-0050,3.457,11.42,4.18,10.41,5.0395
BS-LSBAT-S240629-0051,3.456,11.52,4.179,10.58,5.0106
BS-LSBAT-S240629-0052,3.456,11.18,4.178,10.55,5.0264
